School Name,District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
CHARLES A LINDBERGH ELEMENTARY SCH,KENMORE,ERIE,462,100.0%,100.0%,0,0,1.3%,57.1%,6,264,456,198,76.8%,3.0%,10.2%,3.7%,0.2%,6.1%
HERBERT HOOVER ELEMENTARY SCHOOL,KENMORE,ERIE,580,100.0%,100.0%,0,0,2.1%,57.4%,12,333,568,247,75.5%,6.7%,8.6%,2.8%,0.7%,5.7%
HERBERT HOOVER MIDDLE SCHOOL,KENMORE,ERIE,808,100.0%,100.0%,0,0,1.6%,74.0%,13,598,795,210,66.7%,8.6%,11.2%,4.3%,0.1%,9.0%
HOLMES ELEMENTARY SCHOOL,KENMORE,ERIE,282,100.0%,100.0%,0,0,6.0%,74.5%,17,210,265,72,52.8%,13.1%,16.3%,5.3%,0.4%,12.1%
KENMORE EAST SENIOR HIGH SCHOOL,KENMORE,ERIE,1136,100.0%,100.0%,0,0,0.8%,55.5%,9,630,1127,506,75.3%,8.3%,7.5%,3.0%,0.9%,5.0%
KENMORE WEST SENIOR HIGH SCHOOL,KENMORE,ERIE,1337,100.0%,100.0%,0,0,1.5%,56.2%,20,752,1317,585,74.2%,8.1%,8.9%,3.2%,0.9%,4.6%
THOMAS A EDISON ELEMENTARY SCHOOL,KENMORE,ERIE,545,100.0%,100.0%,0,0,0.9%,61.7%,5,336,540,209,83.6%,2.2%,6.2%,1.3%,0.4%,6.4%
KEY COLLEGIATE CHARTER SCHOOL,KEY COLLEGIATE CHARTER SCH,KINGS,128,100.0%,100.0%,0,0,16.4%,100.0%,21,128,107,0,2.3%,74.8%,21.4%,0.8%,0.0%,0.8%
ICHABOD CRANE ELEMENTARY SCHOOL,KINDERHOOK,COLUMBIA,473,100.0%,100.0%,0,0,1.1%,30.7%,5,145,468,328,76.2%,0.8%,15.7%,1.1%,0.2%,5.9%
ICHABOD CRANE MIDDLE SCHOOL,KINDERHOOK,COLUMBIA,635,100.0%,100.0%,0,0,5.0%,97.6%,32,618,603,15,83.6%,1.7%,10.7%,1.1%,0.0%,2.8%
ICHABOD CRANE SENIOR HIGH SCHOOL,KINDERHOOK,COLUMBIA,516,100.0%,100.0%,0,0,3.3%,95.9%,17,495,499,21,88.0%,3.1%,4.8%,2.1%,0.0%,1.9%
KING CENTER CHARTER SCHOOL,KING CENTER CHARTER SCHOOL,ERIE,425,100.0%,100.0%,0,0,50.0%,97.4%,32,415,32,11,0.5%,82.3%,2.1%,9.4%,0.0%,5.7%
FORT SALONGA ELEMENTARY SCHOOL,KINGS PARK,SUFFOLK,397,100.0%,100.0%,0,0,1.0%,15.9%,4,63,393,334,74.4%,0.8%,16.8%,5.6%,0.0%,2.5%
KINGS PARK HIGH SCHOOL,KINGS PARK,SUFFOLK,971,100.0%,100.0%,0,0,0.0%,100.0%,0,971,971,0,89.2%,0.5%,6.9%,2.6%,0.0%,0.8%
PARKVIEW ELEMENTARY SCHOOL,KINGS PARK,SUFFOLK,362,100.0%,100.0%,0,0,1.4%,16.0%,5,58,357,304,84.5%,1.4%,8.8%,3.9%,0.0%,1.4%
R J O INTERMEIDATE SCHOOL,KINGS PARK,SUFFOLK,423,98.1%,93.6%,9,9,13.6%,46.8%,66,66,411,66,76.9%,1.4%,16.2%,3.3%,0.2%,1.9%
WILLIAM T ROGERS MIDDLE SCHOOL,KINGS PARK,SUFFOLK,655,100.0%,100.0%,0,0,0.0%,100.0%,0,655,655,0,82.0%,0.3%,12.8%,2.0%,0.0%,2.9%
CHAMBERS SCHOOL,KINGSTON,ULSTER,336,100.0%,98.8%,0,4,6.0%,69.9%,20,235,316,97,36.4%,11.6%,36.4%,5.1%,0.0%,10.4%
E R CROSBY ELEMENTARY SCHOOL,KINGSTON,ULSTER,311,100.0%,96.8%,0,10,0.6%,59.5%,2,185,309,116,70.4%,7.7%,11.9%,1.6%,0.0%,8.4%
ERNEST C MYER SCHOOL,KINGSTON,ULSTER,223,100.0%,88.3%,0,26,0.5%,47.1%,1,105,221,92,86.5%,1.8%,7.7%,0.0%,0.0%,4.1%
GEORGE WASHINGTON SCHOOL,KINGSTON,ULSTER,404,100.0%,100.0%,0,0,0.7%,57.7%,3,233,401,171,35.9%,10.6%,40.9%,4.1%,0.0%,8.4%
HARRY L EDSON SCHOOL,KINGSTON,ULSTER,404,89.9%,88.9%,41,45,0.5%,52.5%,2,212,361,147,44.6%,8.1%,29.0%,6.0%,0.0%,12.3%
J WATSON BAILEY MIDDLE SCHOOL,KINGSTON,ULSTER,1056,100.0%,100.0%,0,0,0.6%,49.4%,6,522,1050,534,52.9%,10.2%,26.1%,2.0%,0.0%,8.8%
JOHN F KENNEDY SCHOOL,KINGSTON,ULSTER,340,100.0%,99.4%,0,2,2.4%,73.5%,8,250,332,88,28.6%,28.9%,21.5%,0.6%,0.0%,20.4%
KINGSTON HIGH SCHOOL,KINGSTON,ULSTER,1873,100.0%,100.0%,0,0,1.2%,42.9%,23,806,1850,1072,55.0%,12.8%,23.3%,2.7%,0.2%,6.1%
M CLIFFORD MILLER MIDDLE SCHOOL,KINGSTON,ULSTER,814,99.6%,98.8%,3,10,2.2%,60.8%,18,495,793,309,45.4%,11.9%,27.1%,2.9%,0.1%,12.5%
ROBERT R GRAVES SCHOOL,KINGSTON,ULSTER,337,100.0%,97.9%,0,7,1.2%,51.9%,4,175,333,155,68.4%,6.2%,13.0%,0.6%,0.0%,11.8%
KIPP ACADEMY CHARTER SCHOOL,KIPP ACADEMY CHARTER SCH,BRONX,1119,100.0%,100.0%,0,0,12.8%,97.7%,143,1093,976,26,1.0%,42.3%,55.5%,0.2%,0.6%,0.4%
KIPP AMP CHARTER SCHOOL,KIPP AMP CHARTER SCHOOL,KINGS,816,100.0%,100.0%,0,0,28.1%,96.2%,229,785,587,31,1.0%,83.3%,11.7%,1.7%,0.8%,1.5%
KIPP BRONX CHARTER SCHOOL II,KIPP BRONX CHARTER SCHOOL II,BRONX,247,100.0%,100.0%,0,0,34.8%,96.4%,86,238,161,9,0.0%,29.4%,67.3%,1.2%,0.8%,1.2%
KIPP BRONX CHARTER SCHOOL III,KIPP BRONX CHARTER SCHOOL III,BRONX,248,100.0%,100.0%,0,0,18.5%,96.4%,46,239,202,9,1.6%,34.8%,62.4%,0.4%,0.0%,0.8%
KIPP FREEDOM CHARTER SCHOOL,KIPP FREEDOM CHARTER SCHOOL,BRONX,453,100.0%,100.0%,0,0,27.6%,98.9%,125,448,328,5,1.7%,40.9%,54.5%,0.9%,0.9%,1.1%
KIPP INFINITY CHARTER SCHOOL,KIPP INFINITY CHARTER SCHOOL,NEW YORK,1889,100.0%,100.0%,0,0,17.8%,99.1%,337,1872,1552,17,1.0%,33.1%,64.0%,0.5%,0.7%,0.7%
KIPP NYC WASHINGTON HEIGHTS CHARTER,KIPP NYC WASHINGTON HEIGHTS,NEW YORK,842,100.0%,100.0%,0,0,9.2%,100.0%,77,842,764,0,1.3%,7.6%,89.5%,0.1%,0.4%,1.2%
KIPP STAR COLLEGE PREP CHARTER,KIPP STAR COLLEGE PREP CHRT,NEW YORK,828,100.0%,100.0%,0,0,33.1%,97.3%,274,806,554,22,0.5%,54.1%,41.4%,1.0%,1.4%,1.6%
KIPP TECH VALLEY CHARTER SCHOOL,KIPP TECH VALLEY CHARTER SCH,ALBANY,858,100.0%,100.0%,0,0,10.8%,100.0%,93,858,765,0,0.9%,83.6%,11.8%,0.6%,0.3%,2.8%
KIRYAS JOEL VILLAGE SCHOOL,KIRYAS JOEL,ORANGE,188,11.2%,4.8%,167,179,1.1%,2.7%,2,5,19,4,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
LA CIMA CHARTER SCHOOL,LA CIMA CHARTER SCHOOL,KINGS,257,94.2%,100.0%,15,0,15.6%,100.0%,40,257,202,0,1.1%,60.4%,32.5%,0.8%,3.4%,1.9%
LA FARGEVILLE CENTRAL SCHOOL,LA FARGEVILLE,JEFFERSON,496,84.9%,100.0%,75,0,0.0%,100.0%,0,496,421,0,92.9%,0.6%,2.4%,0.4%,0.0%,3.7%
LACKAWANNA HIGH SCHOOL,LACKAWANNA,ERIE,500,100.0%,100.0%,0,0,12.4%,50.0%,62,500,438,500,69.0%,15.6%,9.9%,1.9%,0.8%,2.7%
LACKAWANNA MIDDLE SCHOOL,LACKAWANNA,ERIE,423,100.0%,100.0%,0,0,11.8%,100.0%,50,423,373,0,62.0%,15.9%,14.5%,2.9%,0.7%,4.0%
MARTIN ROAD ELEMENTARY SCHOOL,LACKAWANNA,ERIE,577,100.0%,100.0%,0,0,4.7%,100.0%,27,577,550,0,60.0%,13.1%,17.8%,3.6%,0.2%,5.2%
TRUMAN ELEMENTARY SCHOOL,LACKAWANNA,ERIE,364,100.0%,100.0%,0,0,1.1%,100.0%,4,364,360,0,66.9%,8.6%,15.0%,3.3%,0.3%,5.8%
C GRANT GRIMSHAW SCHOOL,LAFAYETTE,ONONDAGA,313,100.0%,100.0%,0,0,7.7%,100.0%,24,313,289,0,76.7%,0.6%,1.0%,0.3%,20.1%,1.3%
LA FAYETTE JUNIOR-SENIOR HIGH SCHOOL,LAFAYETTE,ONONDAGA,364,100.0%,100.0%,0,0,11.0%,100.0%,40,364,324,0,64.1%,1.1%,1.4%,0.6%,30.8%,2.0%
ONONDAGA NATION SCHOOL,LAFAYETTE,ONONDAGA,136,100.0%,100.0%,0,0,55.1%,100.0%,75,136,61,0,0.0%,0.0%,0.0%,0.7%,99.3%,0.0%
LAKE GEORGE ELEMENTARY SCHOOL,LAKE GEORGE,WARREN,312,100.0%,100.0%,0,0,0.7%,100.0%,2,312,279,0,92.6%,1.9%,2.6%,1.0%,0.3%,1.6%
LAKE GEORGE JUNIOR-SENIOR HIGH SCHOO,LAKE GEORGE,WARREN,390,100.0%,100.0%,0,0,2.3%,100.0%,9,390,381,0,93.6%,1.5%,1.0%,2.6%,0.0%,1.3%
LAKE PLACID ELEMENTARY SCHOOL,LAKE PLACID,ESSEX,232,92.7%,83.2%,17,57,0.0%,51.9%,0,176,215,106,93.1%,1.7%,1.7%,0.4%,0.0%,3.0%
LAKE PLACID JUNIOR-SENIOR HIGH SCH,LAKE PLACID,ESSEX,339,100.0%,100.0%,0,0,2.4%,100.0%,8,339,331,0,94.2%,1.5%,0.3%,1.2%,0.0%,2.7%
LAKE PLEASANT SCHOOL,LAKE PLEASANT,HAMILTON,80,100.0%,100.0%,0,0,0.0%,100.0%,0,80,80,0,97.5%,0.0%,0.0%,0.0%,0.0%,2.5%
BENJAMIN FRANKLIN ELEMENTARY SCHOOL,LAKELAND,WESTCHESTER,494,100.0%,100.0%,0,0,0.4%,100.0%,2,494,492,0,69.2%,5.1%,18.1%,5.3%,0.0%,2.4%
GEORGE WASHINGTON ELEMENTARY SCHOOL,LAKELAND,WESTCHESTER,421,100.0%,100.0%,0,0,1.0%,100.0%,4,421,417,0,43.6%,8.1%,34.8%,8.6%,0.0%,5.0%
LAKELAND HIGH SCHOOL,LAKELAND,WESTCHESTER,1007,100.0%,100.0%,0,0,0.3%,100.0%,3,1007,1007,0,70.5%,4.9%,17.6%,5.6%,0.1%,1.3%
LAKELAND-COPPER BEECH MIDDLE SCH,LAKELAND,WESTCHESTER,1329,100.0%,100.0%,0,0,0.4%,100.0%,5,1329,1324,0,58.6%,8.7%,24.5%,5.1%,0.3%,2.8%
LINCOLN TITUS ELEMENTARY SCHOOL,LAKELAND,WESTCHESTER,386,100.0%,100.0%,0,0,0.3%,100.0%,1,386,385,0,55.2%,6.1%,29.4%,5.1%,0.0%,4.1%
THOMAS JEFFERSON ELEMENTARY SCHOOL,LAKELAND,WESTCHESTER,426,100.0%,100.0%,0,0,0.0%,100.0%,0,426,425,0,69.5%,3.1%,19.5%,4.9%,0.0%,3.1%
VAN CORTLANDTVILLE SCHOOL,LAKELAND,WESTCHESTER,560,100.0%,100.0%,0,0,0.2%,100.0%,1,560,559,0,53.4%,7.6%,30.0%,2.9%,0.4%,5.8%
WALTER PANAS HIGH SCHOOL,LAKELAND,WESTCHESTER,938,100.0%,100.0%,0,0,0.2%,100.0%,2,938,936,0,63.7%,7.4%,23.9%,3.7%,0.0%,1.4%
COMO PARK ELEMENTARY SCHOOL,LANCASTER,ERIE,359,100.0%,100.0%,0,0,1.1%,100.0%,4,359,355,0,92.8%,1.1%,3.1%,0.8%,0.3%,1.9%
COURT STREET ELEMENTARY SCHOOL,LANCASTER,ERIE,336,100.0%,100.0%,0,0,0.3%,100.0%,1,336,335,0,93.8%,1.8%,2.4%,1.2%,0.0%,0.9%
HILLVIEW ELEMENTARY SCHOOL,LANCASTER,ERIE,488,100.0%,100.0%,0,0,0.0%,100.0%,0,488,488,0,92.8%,0.4%,2.5%,1.4%,0.0%,2.9%
JOHN A SCIOLE ELEMENTARY SCHOOL,LANCASTER,ERIE,399,100.0%,100.0%,0,0,0.0%,100.0%,0,399,399,0,87.2%,2.0%,3.3%,4.0%,0.5%,3.0%
LANCASTER HIGH SCHOOL,LANCASTER,ERIE,1765,100.0%,100.0%,0,0,0.7%,100.0%,12,1765,1753,0,91.3%,1.2%,3.1%,2.0%,0.2%,2.1%
LANCASTER MIDDLE SCHOOL,LANCASTER,ERIE,838,100.0%,100.0%,0,0,0.1%,100.0%,1,838,837,0,89.3%,1.0%,4.1%,2.3%,0.2%,3.2%
WILLIAM STREET SCHOOL,LANCASTER,ERIE,1242,100.0%,100.0%,0,0,0.3%,100.0%,4,1242,1238,0,90.7%,1.1%,3.1%,1.9%,0.2%,2.9%
LANSING HIGH SCHOOL,LANSING,TOMPKINS,377,98.1%,100.0%,7,0,0.8%,91.0%,3,342,366,34,81.2%,2.4%,3.4%,6.3%,0.3%,6.3%
LANSING MIDDLE SCHOOL,LANSING,TOMPKINS,384,100.0%,100.0%,0,0,1.3%,85.4%,5,269,370,46,76.9%,0.8%,3.9%,3.1%,0.0%,15.3%
RAYMOND C BUCKLEY ELEMENTARY SCHOOL,LANSING,TOMPKINS,418,99.5%,100.0%,2,0,1.0%,91.3%,4,334,412,32,76.7%,1.4%,6.7%,2.9%,0.0%,12.4%
KNICKERBACKER MIDDLE SCHOOL,LANSINGBURGH,RENSSELAER,508,100.0%,100.0%,0,0,2.0%,100.0%,10,508,487,0,54.1%,19.4%,15.0%,0.8%,0.2%,10.4%
LANSINGBURGH SENIOR HIGH SCHOOL,LANSINGBURGH,RENSSELAER,657,100.0%,100.0%,0,0,1.4%,100.0%,9,657,648,0,58.1%,19.8%,13.7%,0.5%,0.2%,7.8%
RENSSELAER PARK ELEMENTARY SCHOOL,LANSINGBURGH,RENSSELAER,451,100.0%,100.0%,0,0,2.2%,100.0%,10,451,441,0,54.4%,19.5%,14.1%,0.5%,0.2%,11.3%
TURNPIKE ELEMENTARY SCHOOL,LANSINGBURGH,RENSSELAER,571,100.0%,100.0%,0,0,0.9%,100.0%,5,183,566,0,59.3%,14.7%,13.8%,0.7%,0.0%,11.4%
LAUNCH EXPEDITIONARY LRNING CHARTER,LAUNCH EXPEDITIONARY LRNING,KINGS,284,100.0%,100.0%,0,0,14.1%,75.9%,40,284,244,90,1.7%,79.2%,16.0%,1.0%,1.0%,1.0%
LAURENS CENTRAL SCHOOL,LAURENS,OTSEGO,295,72.5%,89.8%,81,28,0.0%,13.1%,0,36,214,211,90.6%,2.4%,6.6%,0.3%,0.0%,0.0%
LAWRENCE EARLY CHILDHOOD-#4 SCHOOL,LAWRENCE,NASSAU,146,100.0%,100.0%,0,0,8.9%,100.0%,13,146,133,0,7.7%,8.4%,78.3%,2.1%,3.5%,0.0%
LAWRENCE ELEMENTARY SCHOOL-BROADWAY,LAWRENCE,NASSAU,528,100.0%,100.0%,0,0,7.4%,100.0%,39,528,489,0,11.0%,14.8%,68.7%,4.4%,0.8%,0.4%
LAWRENCE MIDDLE SCHOOL-BROADWAY CAMP,LAWRENCE,NASSAU,385,100.0%,100.0%,0,0,19.2%,100.0%,74,385,311,0,10.9%,17.7%,63.4%,5.5%,1.8%,0.8%
LAWRENCE PRIMARY SCHOOL-#2 SCHOOL,LAWRENCE,NASSAU,481,100.0%,100.0%,0,0,100.0%,100.0%,481,481,0,0,8.7%,12.3%,73.6%,4.8%,0.6%,0.0%
LAWRENCE SENIOR HIGH SCHOOL,LAWRENCE,NASSAU,806,100.0%,100.0%,0,0,100.0%,100.0%,806,806,0,0,15.6%,19.5%,60.7%,3.2%,0.2%,0.7%
LE ROY JUNIOR-SENIOR HIGH SCHOOL,LE ROY,GENESEE,1147,93.5%,100.0%,80,0,6.5%,100.0%,80,1123,1067,0,94.2%,2.4%,1.8%,0.4%,0.0%,1.3%
WOLCOTT STREET SCHOOL,LE ROY,GENESEE,1147,93.5%,100.0%,80,0,6.5%,100.0%,80,1123,1067,0,90.2%,1.5%,3.8%,0.5%,0.2%,3.8%
LEADERSHIP PREP BEDFORD STUYVESANT,LEADERSHIP PREP BEDFORD STUY,KINGS,1168,100.0%,100.0%,0,0,5.1%,100.0%,60,1168,1108,0,1.1%,78.5%,15.0%,2.0%,2.3%,1.1%
LEADERSHIP PREP BROWNSVILLE CHARTER,LEADERSHIP PREP BROWNSVILLE,KINGS,698,100.0%,100.0%,0,0,1.4%,100.0%,10,698,688,0,0.7%,82.6%,14.6%,0.4%,0.7%,1.0%
LEADERSHIP PREP CANARSIE CHARTER SCH,LEADERSHIP PREP CANARSIE,KINGS,819,100.0%,100.0%,0,0,1.2%,100.0%,10,819,809,0,0.5%,92.2%,5.4%,0.1%,1.0%,0.8%
LEADERSHIP PREP OCEAN HILL CHARTER,LEADERSHIP PREP OCEAN HILL,KINGS,1295,100.0%,100.0%,0,0,1.2%,100.0%,15,1295,1280,0,0.6%,82.2%,13.1%,1.0%,2.6%,0.4%
LEEP DUAL LANGUAGE ACADEMY CHARTER,LEEP DUAL LANGUAGE ACADEMY C,KINGS,235,96.6%,100.0%,8,0,0.0%,94.0%,0,221,227,14,5.7%,5.7%,82.0%,4.5%,0.8%,1.2%
LEFFERTS GARDENS ASCEND CHARTER,LEFFERTS GARDENS ASCEND CHART,KINGS,116,100.0%,100.0%,0,0,6.9%,100.0%,8,116,108,0,0.0%,89.9%,3.7%,0.9%,2.8%,2.8%
LEGACY COLLEGE PREPARATORY CHARTER,LEGACY COLLEGE PREPARATORY C,BRONX,504,100.0%,100.0%,0,0,50.4%,100.0%,254,504,250,0,0.6%,32.4%,65.3%,0.6%,0.8%,0.4%
LETCHWORTH ELEMENTARY SCHOOL,LETCHWORTH,WYOMING,357,99.7%,100.0%,1,0,0.8%,100.0%,3,357,353,0,97.5%,0.8%,1.7%,0.0%,0.0%,0.0%
LETCHWORTH MIDDLE SCHOOL,LETCHWORTH,WYOMING,269,99.3%,100.0%,2,0,0.4%,100.0%,1,269,266,0,94.8%,0.4%,3.0%,0.4%,0.7%,0.7%
LETCHWORTH SENIOR HIGH SCHOOL,LETCHWORTH,WYOMING,270,98.9%,100.0%,3,0,1.5%,100.0%,4,270,263,0,95.1%,1.1%,1.5%,1.1%,0.4%,0.7%
ABBEY LANE SCHOOL,LEVITTOWN,NASSAU,623,100.0%,100.0%,0,0,0.0%,100.0%,0,623,623,0,50.6%,0.6%,28.7%,18.4%,0.2%,1.4%
DIVISION AVENUE SENIOR HIGH SCHOOL,LEVITTOWN,NASSAU,1012,100.0%,100.0%,0,0,0.0%,100.0%,0,1012,1012,0,57.7%,1.7%,24.3%,14.9%,0.3%,1.2%
EAST BROADWAY SCHOOL,LEVITTOWN,NASSAU,704,100.0%,100.0%,0,0,0.0%,100.0%,0,704,704,0,74.8%,1.3%,16.6%,5.4%,0.0%,2.0%
GARDINERS AVENUE SCHOOL,LEVITTOWN,NASSAU,549,100.0%,100.0%,0,0,0.0%,100.0%,0,549,549,0,62.5%,2.0%,21.4%,11.4%,0.0%,2.7%
GEN DOUGLAS MACARTHUR SENIOR HS,LEVITTOWN,NASSAU,1267,100.0%,100.0%,0,0,0.0%,100.0%,0,1267,1267,0,72.8%,1.0%,17.3%,7.6%,0.2%,1.2%
JONAS E SALK MIDDLE SCHOOL,LEVITTOWN,NASSAU,945,100.0%,100.0%,0,0,0.0%,100.0%,0,945,945,0,69.8%,1.1%,19.6%,7.4%,0.1%,2.0%
LEE ROAD SCHOOL,LEVITTOWN,NASSAU,284,100.0%,100.0%,0,0,0.0%,100.0%,0,284,284,0,80.7%,0.4%,14.4%,3.2%,0.0%,1.4%
NORTHSIDE SCHOOL,LEVITTOWN,NASSAU,531,100.0%,100.0%,0,0,0.0%,100.0%,0,531,531,0,44.6%,0.8%,29.1%,22.3%,0.4%,2.8%
SUMMIT LANE SCHOOL,LEVITTOWN,NASSAU,417,100.0%,100.0%,0,0,0.0%,100.0%,0,417,417,0,47.0%,1.2%,29.4%,21.2%,0.0%,1.2%
WISDOM LANE MIDDLE SCHOOL,LEVITTOWN,NASSAU,750,100.0%,100.0%,0,0,0.3%,100.0%,2,750,748,0,48.9%,2.5%,28.2%,18.5%,0.1%,1.7%
INTERMEDIATE EDUCATION CENTER,LEWISTON PORTER,NIAGARA,401,100.0%,100.0%,0,0,1.7%,100.0%,7,401,394,0,92.0%,1.0%,2.2%,1.5%,0.2%,3.0%
LEWISTON PORTER MIDDLE SCHOOL,LEWISTON PORTER,NIAGARA,448,99.8%,100.0%,1,0,0.2%,100.0%,1,448,447,0,90.4%,0.2%,2.7%,2.9%,0.2%,3.6%
LEWISTON PORTER SENIOR HIGH SCHOOL,LEWISTON PORTER,NIAGARA,674,100.0%,100.0%,0,0,0.1%,100.0%,1,674,673,0,92.3%,2.1%,1.2%,2.4%,0.3%,1.8%
PRIMARY EDUCATION CENTER,LEWISTON PORTER,NIAGARA,403,100.0%,84.6%,0,62,1.0%,84.6%,4,341,399,0,89.6%,0.9%,4.5%,0.3%,0.3%,4.5%
LIBERTY ELEMENTARY SCHOOL,LIBERTY,SULLIVAN,676,100.0%,100.0%,0,0,4.0%,99.7%,27,673,649,2,38.6%,7.3%,44.0%,1.5%,0.0%,8.7%
LIBERTY HIGH SCHOOL,LIBERTY,SULLIVAN,501,100.0%,98.8%,0,6,2.0%,97.6%,10,495,491,6,42.3%,8.6%,44.5%,1.4%,0.0%,3.2%
LIBERTY MIDDLE SCHOOL,LIBERTY,SULLIVAN,561,99.6%,100.0%,2,0,3.7%,99.8%,21,566,542,1,38.4%,8.3%,47.8%,0.9%,0.0%,4.6%
ALBANY AVENUE SCHOOL,LINDENHURST,SUFFOLK,447,100.0%,100.0%,0,0,0.4%,93.3%,2,417,445,30,50.5%,1.8%,40.3%,6.6%,0.0%,0.9%
ALLEGHANY AVENUE SCHOOL,LINDENHURST,SUFFOLK,286,100.0%,100.0%,0,0,0.7%,92.7%,2,265,284,21,70.1%,4.9%,21.9%,1.4%,0.0%,1.7%
DANIEL STREET SCHOOL,LINDENHURST,SUFFOLK,519,100.0%,100.0%,0,0,0.0%,93.4%,0,485,519,34,69.6%,2.9%,23.0%,2.9%,0.2%,1.4%
HARDING AVENUE SCHOOL,LINDENHURST,SUFFOLK,293,100.0%,100.0%,0,0,0.3%,93.5%,1,274,292,19,74.8%,3.0%,18.8%,1.3%,0.0%,2.0%
LINDENHURST MIDDLE SCHOOL,LINDENHURST,SUFFOLK,1316,100.0%,100.0%,0,0,1.8%,100.0%,24,1316,1292,0,62.7%,3.0%,29.4%,3.0%,0.0%,1.7%
LINDENHURST SENIOR HIGH SCHOOL,LINDENHURST,SUFFOLK,1863,100.0%,100.0%,0,0,1.0%,93.1%,18,1735,1845,128,66.5%,2.7%,26.5%,3.3%,0.1%,0.9%
WEST GATES AVENUE SCHOOL,LINDENHURST,SUFFOLK,306,100.0%,100.0%,0,0,0.3%,93.5%,1,286,305,20,66.9%,3.0%,25.9%,3.0%,0.3%,1.0%
WILLIAM RALL SCHOOL,LINDENHURST,SUFFOLK,526,100.0%,100.0%,0,0,0.6%,92.8%,3,488,523,38,45.7%,4.6%,43.1%,4.9%,0.2%,1.5%
LISBON CENTRAL SCHOOL,LISBON,SAINT LAWRENCE,584,96.5%,100.0%,21,0,3.5%,47.3%,21,312,563,348,97.6%,0.2%,1.4%,0.7%,0.0%,0.2%
BENTON HALL ACADEMY,LITTLE FALLS,HERKIMER,453,99.8%,100.0%,1,0,0.7%,100.0%,3,453,449,0,90.1%,0.0%,4.2%,0.4%,0.0%,5.3%
LITTLE FALLS HIGH SCHOOL,LITTLE FALLS,HERKIMER,333,100.0%,100.0%,0,0,1.5%,100.0%,5,333,328,0,89.9%,0.3%,4.5%,1.8%,0.0%,3.6%
LITTLE FALLS MIDDLE SCHOOL,LITTLE FALLS,HERKIMER,270,99.3%,100.0%,2,0,2.2%,100.0%,6,270,262,0,89.2%,0.4%,4.1%,0.7%,0.0%,5.6%
LITTLE FLOWER SCHOOL,LITTLE FLOWER,SUFFOLK,108,100.0%,1.8%,0,108,0.0%,1.8%,0,2,108,0,46.9%,28.1%,22.9%,0.0%,0.0%,2.1%
CHESTNUT HILL ELEMENTARY SCHOOL,LIVERPOOL,ONONDAGA,385,100.0%,100.0%,0,0,1.3%,100.0%,5,385,380,0,62.2%,8.0%,8.8%,12.2%,0.8%,8.0%
CHESTNUT HILL MIDDLE SCHOOL,LIVERPOOL,ONONDAGA,339,100.0%,100.0%,0,0,1.8%,100.0%,6,339,333,0,63.6%,11.1%,5.9%,10.9%,0.3%,8.2%
DONLIN DRIVE ELEMENTARY SCHOOL,LIVERPOOL,ONONDAGA,439,100.0%,100.0%,0,0,2.1%,100.0%,9,439,430,0,63.0%,11.0%,8.9%,10.0%,0.2%,6.8%
