District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
CORNWALL,ORANGE,3012,70.2%,65.8%,576,982,0.0%,6.9%,0,197,1357,1695,62.7%,6.5%,21.4%,5.7%,0.2%,3.5%
AMITYVILLE,SUFFOLK,2994,99.7%,99.7%,8,8,9.8%,99.3%,298,2971,2726,14,3.9%,33.6%,57.4%,1.4%,0.7%,3.0%
AMHERST,ERIE,2973,100.0%,100.0%,0,0,2.5%,100.0%,73,2894,2900,0,65.5%,14.5%,5.5%,9.0%,0.3%,5.2%
BREWSTER,PUTNAM,2965,100.0%,100.0%,0,0,6.0%,100.0%,179,2965,2786,0,47.8%,2.8%,43.6%,2.8%,0.1%,2.8%
KATONAH LEWISBORO,WESTCHESTER,2958,100.0%,100.0%,0,0,2.0%,100.0%,60,2958,2898,0,77.4%,1.0%,12.3%,3.2%,0.1%,6.0%
HEWLETT WOODMERE,NASSAU,2928,100.0%,100.0%,0,0,9.9%,77.3%,293,2263,2679,665,60.4%,9.0%,17.9%,10.1%,0.4%,2.2%
STARPOINT,NIAGARA,2917,100.0%,100.0%,0,0,1.1%,100.0%,32,2917,2886,0,93.1%,0.7%,1.9%,1.1%,0.2%,3.1%
BETHPAGE,NASSAU,2915,100.0%,100.0%,0,0,0.1%,100.0%,4,2915,2911,0,61.2%,0.6%,16.3%,19.5%,0.1%,2.4%
LIVONIA,LIVINGSTON,2914,100.0%,100.0%,0,0,1.7%,63.3%,48,2258,2860,1308,94.4%,0.5%,2.5%,0.2%,0.1%,2.3%
TRUMANSBURG,TOMPKINS,2913,100.0%,100.0%,0,0,1.2%,100.0%,36,2913,2877,0,85.6%,1.9%,4.2%,0.2%,0.1%,8.0%
HARBORFIELDS,SUFFOLK,2883,100.0%,100.0%,0,0,1.7%,59.5%,49,2274,2835,1546,71.3%,4.3%,14.9%,5.5%,0.1%,3.9%
SOUTH GLENS FALLS,SARATOGA,2883,100.0%,100.0%,0,0,1.3%,88.8%,38,2558,2845,323,91.5%,0.7%,4.0%,0.6%,0.1%,3.2%
MINEOLA,NASSAU,2867,100.0%,100.0%,0,0,3.0%,100.0%,86,2867,2794,0,49.0%,2.5%,31.9%,13.8%,0.0%,2.7%
EAST IRONDEQUOIT,MONROE,2865,100.0%,99.4%,0,16,2.3%,98.3%,64,2816,2768,33,44.4%,20.8%,24.7%,2.3%,0.1%,7.7%
GOSHEN,ORANGE,2827,100.0%,100.0%,0,0,1.3%,88.0%,38,2483,2789,337,74.1%,4.9%,15.0%,4.1%,0.1%,1.8%
KINGS PARK,SUFFOLK,2808,99.7%,99.6%,9,9,2.6%,71.8%,75,1813,2787,704,83.0%,0.7%,11.3%,3.1%,0.0%,1.8%
SOMERS,WESTCHESTER,2805,100.0%,100.0%,0,0,0.1%,88.2%,3,2474,2802,331,81.7%,1.0%,11.2%,3.5%,0.0%,2.5%
GRAND ISLAND,ERIE,2801,99.7%,88.6%,8,318,0.4%,84.3%,11,2356,2790,120,85.2%,1.5%,4.7%,3.5%,0.3%,4.8%
PELHAM,WESTCHESTER,2796,100.0%,100.0%,0,0,0.7%,74.4%,19,2080,2777,716,64.8%,5.5%,16.2%,5.7%,0.0%,7.8%
SOUTH ORANGETOWN,ROCKLAND,2793,100.0%,100.0%,0,0,0.9%,76.0%,26,2124,2767,669,66.5%,1.9%,18.0%,8.5%,0.0%,5.0%
